12350.793,180,1.657,0,,2431.026
10268.187,180,3.705,180,,
8557.492,150.162,3.58,210,,
7459.683,135.128,3.515,225,,
7252.473,126.131,3.476,234,,
7989.562,120.226,3.449,240,,
9407.134,116.247,3.705,360,,
11192.523,113.542,3.659,135,,
13117.223,111.805,3.493,195.626,,
15065.35,110.743,3.476,216,,
16971.447,110.172,3.314,221.233,,
18792.645,109.998,3.209,235.208,,
20477.123,110.257,3.377,265.982,,
21983.416,110.99,3.373,282.235,,
23275.355,112.256,3.369,296.676,,
24337.963,114.064,3.365,309.672,,
25172.697,116.397,3.362,321.478,,
25799.787,119.188,3.471,344.132,,
26237.537,122.401,3.4,347.431,,
26499.395,126.04,3.335,341.286,,
26593.723,130.149,3.334,343.785,,
26529.42,134.788,3.333,347.035,,
26320.668,140.003,3.42,0.432,,
25994.322,145.766,3.499,10.184,,
25585.744,151.974,3.492,19.388,,
25132.076,158.471,3.439,33.498,,
24668.279,165.082,3.435,39.712,,
24226.34,171.645,3.43,45.434,,
23835.805,178.017,3.426,50.712,,
23522.953,184.089,3.369,113.021,,
23308.615,189.791,3.367,120.159,,
23205.881,195.091,3.365,126.546,,
23216.59,199.99,3.327,162.73,,
23336.613,204.512,3.326,174.773,,
23557.561,208.687,3.326,187.755,,
23864.498,212.555,3.382,262.442,,
24230.27,216.166,3.336,198.521,,
24624.168,219.57,3.303,203.039,,
25014.207,222.818,3.356,227.888,,
25374.258,225.951,3.324,221.625,,
25684.473,229.004,3.324,232.44,,
25935.768,232.001,3.324,243.11,,
26123.123,234.961,3.324,253.544,,
26242.551,237.905,3.323,263.646,,
26289.408,240.864,3.323,273.336,,
26261.16,243.871,3.323,282.553,,
26160.117,246.961,3.287,245.163,,
25996.854,250.16,3.262,237.459,,
25993.264,250.16,3.288,237.459,,
25991.111,257.683,3.218,262.258,,
25990.275,265.206,3.191,237.205,,
25990.84,272.73,3.191,233.452,,
25992.68,280.254,3.191,240.952,,
25995.721,287.777,3.235,248.452,,
26000.104,295.298,3.235,269.234,,
26005.297,302.818,3.279,276.734,,
26010.658,310.336,3.348,297.642,,
26016.041,317.85,3.348,323.922,,
26021.537,325.361,3.382,331.422,,
26026.979,332.87,3.408,346.429,,
26030.662,340.376,3.331,355.55,,
26032.791,347.879,3.305,0.538,,
26033.223,355.38,3.305,8.163,,
26032.545,2.88,3.271,15.663,,
26030.498,10.38,3.244,35.912,,
26027.125,17.881,3.173,63.127,,
26023.137,25.383,3.173,135.553,,
26018.932,32.887,3.2,143.053,,
26013.715,40.393,3.164,123.37,,
26007.766,47.903,3.164,165.529,,
26001.943,55.417,3.118,173.029,,
25997.086,62.936,3.072,182.298,,
25993.539,70.457,3.072,189.332,,
25991.316,77.979,3.146,196.832,,
25990.508,85.503,3.191,215.2,,
25991.125,93.028,3.235,237.043,,
25993.094,100.552,3.279,269.744,,
25996.412,108.076,3.357,304.202,,
26000.926,115.598,3.399,344.219,,
26006.172,123.119,3.374,354.51,,
26011.455,130.637,3.441,0.816,,
26017.23,138.151,3.482,8.068,,
26023.313,145.662,3.458,14.508,,
26028.557,153.172,3.391,24.177,,
26031.957,160.677,3.424,41.374,,
26033.906,168.18,3.424,37.139,,
26034.709,175.681,3.357,44.639,,
26034.031,183.181,3.357,89.709,,
26031.324,190.681,3.399,97.209,,
26027.611,198.182,3.441,92.233,,
26023.578,205.685,3.482,87.356,,
26019.08,213.189,3.523,82.877,,
26013.652,220.696,3.564,79.012,,
26007.623,228.206,3.564,75.873,,
26001.863,235.721,3.595,83.373,,
25997.1,243.239,3.659,71.173,,
25993.518,250.76,3.635,62.527,,
25991.309,258.283,3.635,77.986,,
25990.574,265.808,3.697,85.486,,
25991.221,273.333,3.697,76.092,,
25993.197,280.856,3.674,83.592,,
25996.586,288.379,3.635,99.468,,
26001.039,295.901,3.635,115.004,,
26005.947,303.422,3.69,122.504,,
26011.133,310.938,3.69,122.632,,
26016.885,318.452,3.728,130.132,,
26022.986,325.963,3.766,130.284,,
26027.795,333.472,3.766,129.64,,
26031.316,340.978,3.834,137.14,,
