,,,,,,,,,,,,
,,,,,,,,,,,,
Y01-AA-FOR-0100 Workshop Stock Record ,,,,,,,,,,,,
,,,,,,,,,,,,
PART NUMBER,DESCRIPTION,QUANTITY,BATCH/LOT/ DATE.CODE,DELIVERY NO.,DATE RECEIVED,JOB/PROJECT REF.,LOCATION,COMMENTS,REMAINING QTY,P.O NUMBER ,UNIT VALUE,TOTAL VALUE
700-4481,HEATSHRINK,20,,N/A,N/A,,AE 032,,20M,FROM S.B,£,£
700-4484,HEATSHRINK,38,,N/A,N/A,,AE 033,,38M,FROM S.B,£,£
700-4504,HEATSHRINK,32,,N/A,N/A,,AE 034,,32M,FROM S.B,£,£
700-4507,HEATSHRINK,36,,N/A,N/A,,AE 035,,36M,FROM S.B,£,£
700-4541,HEATSHRINK,32,,N/A,N/A,,AE 036,2M-A88 2 ROLLS - B06,30M,FROM S.B,£,£
700-4548,HEATSHRINK,24,,N/A,N/A,,AE 037,,24M,FROM S.B,£,£
,,,,,,,AE 038,1 - B06,,,£,£
,,,,,,,AE 039,1 - B06,,,£,£
,,,,,,,AE 040,,,,£,£
,,,,,,,AE 041,,,,£,£
256-0071,,200,,,,,AE 042,,200,,£,£
,FEMALE SOCKET CRIMP,100,,,,,AE 043,,100,,£,£
,,,,,,,AE 044,,,,£,£
,,,,,,,AE 045,,,,£,£
,,,,,,,AE 046,,,,£,£
,15MM CABLE SOCK,5,,,,,AE 047,,5M,,£,£
AT7,PVC WHITE TAPE,20 ROLLS,N/A,174-308798,14/12/2015,,AE 048,1 - A29   5 - A54   6 - A70   3 - A72  1 - A83  4 - A75,0,PO001345,£,£
,BLACK INSULATION TAPE,1 ROLL,,,,,AE 049,,1 ROLL,,£,£
,BLACK INSULATION TAPE,2 ROLLS,,,,,AE 050,,2 ROLLS,,£,£
,EARTH INSULATION TAPE,2 ROLLS,,,,,AE 051,,2 ROLLS,,£,£
,SELF AMALGAMATING TAPE,1 ROLL,,,,,AE 052,A75 - 2 x 3m check,1 ROLL,,£,£
,BLACK POLYESTER BAND,10M,,,,,AE 053,,10M,,£,£
,SELF BONDING TAPE,6 ROLLS,,,,,AE 054,,6 ROLLS,,£,£
,BLACK NON ADHESIVE TAPE,2 ROLLS,,,,,AE 055,,2 ROLLS,,£,£
,,,,,,,AE 056,,,,£,£
,PTFE TAPE,1 ROLL,,,,,AE 057,,1 ROLL,,£,£
,,,,,,,AE 058,,,,£,£
,BLACK CANVAS TAPE,2 ROLLS,,,,,AE 059,,2 ROLLS,,£,£
,DENSYL TAPE,4 ROLLS,,,,,AE 060,,4 ROLLS,,£,£
,DENSYL TAPE,4 ROLLS,,,,,AE 061,,4 ROLLS,,£,£
,EMERY TAPE - 400,3 ROLLS,,,,,AE 062,,3 ROLLS,,£,£
,EMERY TAPE - 240,1 ROLL,,,,,AE 063,,1 ROLL,,£,£
,EMERY TAPE - 222/240,,,,,,AE 064,,,,£,£
,EMERY TAPE - 320,1 ROLL,,,,,AE 065,,1 ROLL,,£,£
,150MM SANDING DISC,20,,,,,AE 066,,20,,£,£
,EMERY TAPE 400,1 ROLL,,,,,AE 067,,1 ROLL,,£,£
,P40  150MM SANDING DISC,22,,,,,AE 068,,22,,£,£
,P80  150MM SANDING DISC,50,,,,,AE 069,,50,,£,£
,P40  150MM SANDING DISC,50,,,,,AE 070,,50,,£,£
,MEDIUM EMERY PAPER,6 SHEETS,,,,,AE 071,,6 SHEETS,,£,£
,MEDIUM WIRE WOOL,1 BOX,,,,,AE 072,,1 BOX,,£,£
,WEATHERPROOF COMPOUND,2,,,,,AE 073,,2,,£,£
,FOAM TAPE,3,,,,,AE 074,,3,,£,£
,HAZARD TAPE,2 ROLLS,,,,,AE 075,,2 ROLLS,,£,£
474-549,BLACK P - CLIP,,,,,,AF 001,,,,£,£
RCHJ37,BLACK P - CLIP,,,,,,AF 002,,,,£,£
BSW340,32MM CONDUIT P - CLIP,,,,,,AF 003,,,,£,£
BSW210,20MM CONDUIT P - CLIP,,,,,,AF 004,,,,£,£
13591-0-100,"3/4"" TAP WASHER",,,,,A70,AF 005,,,,£,£
817-8855,BLACK PLASTIC BLANKING PLUG,,,,,A70,AF 006,,,,£,£
M8,BLACK M8 RUBBER WASHER,100,,,,A54,AF 007,,100,,£,£
,,,,,,,AF 008,,,,£,£
,,,,,,,AF 009,,,,£,£
,,,,,,,AF 010,,,,£,£
,,,,,,,AF 011,,,,£,£
,,,,,,,AF 012,,,,£,£
,,,,,,,AF 013,,,,£,£
,,,,,,,AF 014,,,,£,£
20MM,BLACK 20MM BLIND GROMET,,,,,,AF 015,,,,£,£
25MM,BLACK 25MM BLIND GROMET,,,,,,AF 016,,,,£,£
32MM,BLACK 32MM BLIND GROMET,,,,,,AF 017,,,,£,£
,,,,,,,AF 018,,,,£,£
,,,,,,,AF 019,,,,£,£
,,,,,,,AF 020,,,,£,£
INSM20/20 (PLASTIC),M20 x M20 INSULATED GLAND ADAPTOR,10,N/A,174-402451,23/01/2018,A72,AF 021,,,PO002746,£,£
INSM25/25 (PLASTIC),M25 x M25 INSULATED GLAND ADAPTOR,,N/A,174-402451,23/01/2018,A72,AF 022,4 - A99,,PO002746,£,£
INSM32/32 (PLASTIC),M32 x M32 INSULATED GLAND ADAPTOR,,N/A,174-402451,23/01/2018,A72,AF 023,,,PO002746,£,£
,,,,,,,AF 024,,,,£,£
INSM50/50 (PLASTIC),M50 x M50 INSULATED GLAND ADAPTOR,10,N/A,174-402962,29/01/2018,A72,AF 025,,10,PO002746,£,£
INSM50/50 (PLASTIC),M50 x M50 INSULATED GLAND ADAPTOR,4,N/A,174-402090,29/01/2018,A72,AF 025,,4,PO002749,,
M20 (BRASS /PLASTIC),M20 x M20 INSULATED GLAND ADAPTOR,,,,,,AF 026,10 - A99,,,£,£
M25 (BRASS/PLASTIC),M25 x M25 INSULATED GLAND ADAPTOR,,,,,,AF 027,2 - A99,,,£,£
M32 (BRASS/PLASTIC),M32 x M32 INSULATED GLAND ADAPTOR,,,,,,AF 028,,,,£,£
M20,M20 GALV. BLANKING PLUG,,,,,,AF 029,2 -MM,,,£,£
M25,M25 GALV. BLANKING PLUG,,,,,,AF 030,2 - MM,,,£,£
,,,,,,,AF 031,,,,£,£
,,,,,,,AF 032,,,,£,£
,,,,,,,AF 033,,,,£,£
,,,,,,,AF 034,,,,£,£
M20,M20 BRASS BUSH - SHORT,,,,,,AF 035,,,,£,£
M20,M20 BRASS BUSH - LONG,,,,,,AF 036,,,,£,£
M32,M32 BRASS BUSH - SHORT,,,,,,AF 037,,,,£,£
PG21,PG21 x M20 BRASS REDUCER ,4,,,,,AF 038,4 - A99,0,,£,£
M32,M32 x M20 BRASS REDUCER,,,,,,AF 039,,,,£,£
M32,M32 x M25 BRASS REDUCER,,,,,,AF 040,,,,£,£
M25,M25 x M20 GALV.REDUCER,5,,,,A54,AF 041,2 - MM  2 - B45,5,,£,£
M25,M25 x M20 NICKEL PLATED  REDUCER,,,,,,AF 042,,,,£,£
PG21,PG21 x M20 NICKEL PLATED REDUCER ,6,,,,,AF 043,,0-A99,,£,£
M32,M32 x M20 NICKEL PLATED REDUCER,,,,,,AF 044,,,,£,£
M32,M32 x M25 NICKEL PLATED REDUCER,,,,,,AF 045,,,,£,£
M20,M20 GALV. LOCK RING,84,,,,A54,AF 046,,84,,£,£
,,,,,,,AF 047,2 - MM  2 - B45,,,£,£
M32,M32 GALV. LOCK RING,,,,,,AF 048,,,,£,£
M20,M20 NICKEL PLATE  LOCK RING,,,,,,AF 049,2 - MM,,,£,£
NL20B,M20 LOCK NUT - BLACK PLASTIC,10,,,,A54,AF 050,,10,,£,£
NL25B,M25 LOCK NUT - BLACK PLASTIC,,,,,,AF 051,,,,£,£
M25,M25 GALV. LOCK RING,10,,,,A54,AF 052,,10,,£,£
NLN50B,M50 LOCK NUT - BLACK PLASTIC,,,,,,AF 053,,,,£,£
,,,,,,,AF 054,,,,£,£
053503,M32 CCG A2 NICKEL PLATE CABLE GLAND,,,,,,AF 055,,,,£,£
M16,M16 STUFFING GLAND - GREY PLASTIC,,,,,,AF 056,,,,£,£
M20,M20 STUFFING GLAND - GREY PLASTIC,,,,,,AF 057,,,,£,£
AL 3445,M20 STUFFING GLAND - WHITE PLASTIC,9,,,,A54,AF 058,,9,,£,£
ACGM25 WHT,M25 STUFFING GLAND - WHITE PLASTIC,8,,,,A54,AF 059,,8,,£,£
,,,,,,,AF 060,,,,£,£
M12,M12 STUFFING GLAND - BLACK PLASTIC,,,,,,AF 061,,,,£,£
362-0045,M12 STUFFING GLAND - BLACK PLASTIC S/T,,,,,,AF 062,,,,£,£
M16,M16 STUFFING GLAND - BLACK PLASTIC S/T,,,,,,AF 063,,,,£,£
NGM20S-BLK,M20S STUFFING GLAND - BLACK PLASTIC S/T,,,,,,AF 064,5 - MM  10 - B45,,,£,£
NGM20-BLK,M20 STUFFING GLAND - BLACK PLASTIC S/T,10,,,,A54,AF 065,10 - B45,10,,£,£
NGM25-BLK,M25 STUFFING GLAND - BLACK PLASTIC,,,,,,AF 066,10 - B45,,,£,£
444-3057,M25 STUFFING GLAND - BLACK PLASTIC S/T,,,,,,AF 067,5 - MM,,,£,£
NGM32-BLK,M32 STUFFING GLAND - BLACK PLASTIC,,,,,,AF 068,,,,£,£
362-0067,M32 STUFFING GLAND - BLACK PLASTIC S/T,,N/A,1140848103,4/3/2018,A88,AF 069,,,PO003017,£,£
M40,M40 STUFFING GLAND - BLACK PLASTIC,,,,,,AF 070,,,,£,£
M40,M40 STUFFING GLAND - BLACK PLASTIC WIDE,,,,,,AF 071,,,,£,£
M40,M40 STUFFING GLAND - BLACK PLASTIC WIDE,,,,,,AF 072,,,,£,£
NGM50-BK,M50 STUFFING GLAND - BLACK PLASTIC,14,,,,,AF 073,14 - B45,0,,£,£
M4 x 12,POZI PAN HEAD SCREW BZP,500,N/A,174-312920,26/01/2016,STOCK,AG 001,500 - A70,0,PO001398,£,£
M4 x 16,POZI PAN HEAD SCREW BZP,500,N/A,174-312920,26/01/2016,STOCK,AG 002,2-A88,498,PO001398,£,£
M4 x 20,POZI PAN HEAD SCREW BZP,500,N/A,174-312920,26/01/2016,STOCK,AG 003,1-A70,499,PO001398,£,£
M4,FULL NUT BZP,2000,N/A,174-312920,26/01/2016,STOCK,AG 004,100-A88,1900,PO001398,£,£
M4,FLAT WASHER BZP,2000,N/A,174-312920,26/01/2016,STOCK,AG 005,100-A70,1800,PO001398,£,£
M4,SPRING WASHER BZP,2000,N/A,174-312920,26/01/2016,STOCK,AG 006,300-A70,1694,PO001398,£,£
M4,SHAKEPROOF WASHER,200,N/A,174-325622,11/05/2016,STOCK,AG 007,,0,PO001555,£,£
,,,,,,,AG 008,,,,£,£
,,,,,,,AG 009,,,,£,£
,,,,,,,AG 010,,,,£,£
,,,,,,,AG 011,,,,£,£
,,,,,,,AG 012,,48,,£,£
M5 x 16,POZI PAN HEAD SCREW BZP,500,N/A,174-312920,26/01/2016,,AG 013,100 - A,400,PO001398,£,£
M5 x 20,POZI PAN HEAD SCREW BZP,500,N/A,174-312920,26/01/2016,,AG 014,,600,PO001398,£,£
M5,FULL NUT BZP,2000,N/A,174-312920,26/01/2016,,AG 015,100 - A70   100 - A72,1700,PO001398,£,£
M5,FLAT WASHER BZP,2000,N/A,174-312920,26/01/2016,,AG 016,100 - A70,1800,PO001398,£,£
M5,SPRING WASHER BZP,2000,N/A,174-312920,26/01/2016,,AG 017,100 - A72,1800,PO001398,£,£
M5 x 20,PENNY WASHER,2000,N/A,174-312920,26/01/2016,,AG 018,200 - A70    100 - A72   400 - A88,900,PO001398,£,£
M5 x 25,PENNY WASHER,2000,,,,,AG 019,,2000,,£,£
M5 ,BLIND NUT INSERTS,52,,,,,AG 020,,52,,£,£
,,,,,,,AG 021,,,,£,£
M5,AVK THREADED INSERT,1000,N/A,N/A,N/A,,AG 022,,800,,£,£
M5,SHAKEPROOF WASHER,200,N/A,174-325622,11/05/2016,,AG 023,,200,PO001555,£,£
M5,POZI COUNTERSUNK HEAD SCREW,100,,,,,AG 024,,0,,£,£
,,,,,,,AG 025,,,,£,£
,,,,,,,AG 026,,,,£,£
M6 x 12,POZI PAN HEAD SCREW BZP,500,N/A,174-312920,26/01/2016,,AG 027,12 - A99,488,PO001398,£,£
M6 x 16,POZI PAN HEAD SCREW BZP,500,N/A,174-312920,26/01/2016,,AG 028,100 -A70    200 - A72    100 - A88,200,PO001398,£,£
M6 x 20,POZI PAN HEAD SCREW BZP,500,N/A,174-312920,26/01/2016,,AG 029,                                                                         100 -CON,400,PO001398,£,£
M6 x 25,POZI PAN HEAD SCREW BZP,500,N/A,174-312920,26/01/2016,,AG 030,10 - A77,490,PO001398,£,£
M6,FULL NUT BZP,2000,N/A,174-312920,26/01/2016,,AG 031 ,,2000,PO001398,£,£
M6, FLAT WASHER,200,N/A,174-325622,11/05/2016,,AG 032,200 - A72,1000,PO001555,£,£
M6 x 25,PENNY WASHER,1800,,,,,AG 033,,1800,,£,£
M6 x 25,PENNY WASHER,,N/A,174-312920,26/01/2016,,AG 034 ,,2000,PO001398,£,£
M6 x 25,PENNY WASHER,,N/A,174-312920,26/01/2016,,AG 035,A72-100  A96 - 100,1700,PO001398,£,£
M6 x 25,HEX BOLTS,200,N/A,174-325622,11/05/2016,,AG 036,,200,PO001555,£,£
M6,SHAKEPROOF WASHER,200,N/A,174-325622,11/05/2016,,AG 037,,200,PO001555,£,£
M6 x 16,HEX BOLTS,200,N/A,174-325622,11/05/2016,,AG 038,200 - A72,200,PO001555,£,£
M6, SPRING WASHER,200,N/A,174-325622,11/05/2016,,AG 039,200 - A72,200,PO001555,£,£
M6 x 38, PENNY WASHER,1000,N/A,174-311447,12/01/2016,,AG 040 ,400 - A70    600  - A72     ,1000,PO001382,£,£
M6 x 38,PENNY WASHER,1000,N/A,174-311447,12/01/2016,,AG 0341,100 - A39    100 - A79,1000,PO001283,£,£
,,,,,,,AG 042,,,,£,£
,,,,,,,AG 043,,,,£,£
NSYCNM6,M6 CAGE NUT,700,,,,,AG 044,,550,,£,£
MRM6X20Z,M6 x 20 ROOFING BOLT,200,,,,,AG 045,100 - A88,100,,£,£
MRM6X25Z,M6 x 25 ROOFING BOLT,70,,,,,AG 046,,70,,£,£
M8 x 16,,200,N/A,174-325662,11/05/2016,,AG 047,60 - A72,120,PO001555,£,£
M8 x 25,,200,,174-325662,,,AG 048,,234,,£,£
M8 x 30,,130,N/A,N/A,,,AG 049,,104,,£,£
M8 x 40,HEX BOLT,30,N/A,N/A,N/A,,AG 050,27 - A72,0,FROM S.B,£,£
M8 x 20,POZI PAN M/SCREW,,,,,,AG 051,,,,£,£
,,,,,,,AG 052,,398,,£,£
M8,FULL NUT,163,N/A,N/A,N/A,,AG 053,,41,,£,£
M8,FLAT WASHER,200,N/A,174-325622,11/05/2016,,AG 054,10 - A72  28 - A72,45,PO001555,£,£
M8,SPRING WASHER,2000,N/A,174-312920,26/01/2016,,AG 055,200 -A70  300 - A72  28 - A72,1363,PO001398,£,£
M8,SHAKEPROOF WASHER,200,N/A,174-325622,11/05/2016,,AG 056,,326,PO001555,£,£
,,,,,,,AG 057,,,,£,£
M8 x 25,PENNY WASHER,3000,N/A,174-311447,12/01/2016,,AG 058,100 - A70  200 - A72,2400,PO001382,£,£
M8 x 25, PENNY WASHER,2000,N/A,174-311447,12/01/2016,,AG 059,100 - A75,1900,PO001382,£,£
M8,M8 SMOOTH INSERT,,,,,,AG 060,,41,,£,£
M8,LOCKING NUT,79,N/A,N/A,N/A,,AG 061,,79,FROM S.B,£,£
M8,CAGE NUT,186,N/A,N/A,N/A,,AG 062,,184,FROM S.B,£,£
M8,AVK THREADED INSERT,350,N/A,N/A,N/A,,AG 063,A72 - 50,247,,£,£
NSYCNM8,M8 CAGE NUT,,,,,,AG 064,,250,,£,£
M6,M6 x 10MM HEX HEAD SET SCREW,,,,,,AH 001,,,,£,£
M6,M6 x 16MM HEX HEAD SET SCREW,,,,,,AH 002,,,,£,£
M6,M6 x 20MM HEX HEAD SET SCREW,,,,,,AH 003,,,,£,£
,,,,,,,AH 004,,,,£,£
,,,,,,,AH 005,,,,£,£
M6,M6 x 35MM HEX HEAD SET SCREW,,,,,,AH 006,,,,£,£
M6,M6 x 40MM HEX HEAD SET SCREW,,,,,,AH 007,,,,£,£
M6,M6 x 50MM HEX HEAD SET SCREW,,,,,,AH 008,,,,£,£
,,,,,,,AH 009,,,,£,£
M6,M6 x 75MM HEX HEAD SET SCREW,,,,,,AH 010,,,,£,£
M6,M6 x 80MM HEX HEAD BOLT,,,,,,AH 011,,,#,£,£
,,,,,,,AH 012,,,,£,£
M6,M6 FULL NUT,,,,,,AH 013,,,,£,£
M6,M6 FLAT WASHER,,,,,,AH 014,400 - B45,,,£,£
M6,M6 SPRING WASHER,,,,,,AH 015,,,,£,£
M6,M6 SHAKEPROOF WASHER,,,,,,AH 016,,,,£,£
M6,M6 x 10MM PENNY WASHER,,,,,,AH 017,,,,£,£
,,,,,,,AH 018,,,,£,£
M6,M6 x 25MM PENNY WASHER,,,,,A75,AH 019,150 - B41,,,£,£
M6,M6 x 25MM PENNY WASHER,,,,,,AH 020,,,,£,£
M6,M6 x 25MM PENNY WASHER,,,,,,AH 021,300 - B45,,,£,£
M6,M6 x 38MM PENNY WASHER,,,,,,AH 022,,,,£,£
M6,M6 x 38MM PENNY WASHER,,,,,,AH 023,,,,£,£
M6,M6 x 12MM POZI PAN HEAD SCREW,,,,,,AH 024,,,,£,£
M6,M6 x 16MM POZI PAN HEAD SCREW,,,,,,AH 025,,,,£,£
M6,M6 x 20MM POZI PAN HEAD SCREW,,,,,,AH 026,,,,£,£
M6,M6 x 25MM POZI PAN HEAD SCREW,,,,,,AH 027,,,,£,£
M6,M6 NYLOC NUT,,,,,,AH 028,,,,£,£
,,,,,,,AH 029,,,,£,£
M6,M6 x 16MM ROOFING BOLT,,,,,,AH 030,,,,£,£
M6,M6 x 20MM ROOFING BOLT,,,,,,AH 031,,,,£,£
M6,M6 x 25MM ROOFING BOLT,,,,,,AH 032,,,,£,£
M6,M6 x 30MM ROOFING BOLT,,,,,,AH 033,,,,£,£
M6,M6 x 40MM ROOFING BOLT,,,,,A75,AH 034,100 - B41,,,£,£
,,,,,,,AH 035,,,,£,£
,,,,,,,AH 036,,,,£,£
,,,,,,,AH 037,,,,£,£
M6,M6 CAGE NUT,,,,,,AH 038,,,,£,£
M6,M6 RIV NUT,,,,,,AH 039,,,,£,£
M6,M6 RIV NUT,,,,,,AH 040,,,,£,£
,,,,,,,AH 041,,,,£,£
,,,,,,,AH 042,,,,£,£
M8,M8 x 16MM HEX HEAD SET SCREW,,,,,,AH 043,,,,£,£
M8,M8 x 20MM HEX HEAD SET SCREW,,,,,,AH 044,,,,£,£
M8,M8 x 25MM HEX HEAD SET SCREW,,,,,,AH 045,,,,£,£
M8,M8 x 30MM HEX HEAD SET SCREW,,,,,,AH 046,60 - B45,,,£,£
M8,M8 x 30MM HEX HEAD SET SCREW,,,,,,AH 047,,,,£,£
M8,M8 x 40MM HEX HEAD SET SCREW,,,,,,AH 048,,,,£,£
M8,M8 x 45MM HEX HEAD SET SCREW,,,,,,AH 049,,,,£,£
,,,,,,,AH 050,,,,£,£
M8,M8 x 50MM HEX HEAD SET SCREW,,,,,,AH 051,,,,£,£
M8,M8 x 55MM HEX HEAD SET SCREW,,,,,,AH 052,,,,£,£
M8,M8 x 60MM HEX HEAD SET SCREW,,,,,,AH 053,,,,£,£
M8,M8 x 70MM HEX HEAD SET SCREW,,,,,,AH 054,,,,£,£
M8,M8 FULL NUT,,,,,,AH 055,,,,£,£
M8,M8 FLAT WASHER,,,,,,AH 056,100 - B45,,,£,£
M8,M8 SPRING WASHER,,,,,,AH 057,100 - B45,,,£,£
M8,M8 SPRING WASHER,,,,,,AH 058,,,,£,£
M8,M8 x 25MM PENNY WASHER,,,,,,AH 059,100 - B45,,,£,£
M8,M8 x 25MM PENNY WASHER,,,,,,AH 060,,,,£,£
M8,M8 x 25MM PENNY WASHER,,,,,,AH 061,,,,£,£
,,,,,,,AH 062,,,,£,£
,,,,,,,AH 063,,,,£,£
M8,M8 LOCKING NUT,,,,,,AH 064,,,,£,£
M8,M8 NYLOC NUT,,,,,,AH 065,,,,£,£
M8,M8 SHAKEPROOF WASHER,,,,,,AH 066,,,,£,£
M8,M8 FLAT WASHER GALV.,,,,,,AH 067,,,,£,£
M8,M8 SPRING WASHER GALV.,,,,,,AH 068,,,,£,£
M8,M8 x 45MM THREADED SCREW,,,,,,AH 069,,,,£,£
M8,M8 x 20,,,,,,AH 070,,,,£,£
M8,M8 x 10,,,,,,AH 071,,,,£,£
M8,M8 CAGE NUT,,,,,,AH 072,,,,£,£
M8,M8 CAGE NUT,,,,,,AH 073,,,,£,£
M8,M8 RIV NUT,,,,,,AH 074,,,,£,£
M8,M8 RIV NUT,,,,,,AH 075,,,,£,£
750 LR-G-95.240-14.5+11TL,,6,,,,A72,AI 001,,6,A72,,
IXSU-F3141,,2,,,,A72,AI 001,,2,A72,,
EAKT - 1606,,4,,,,A72,AI 001,,4,A72,,
EPKT17C3X1H2,,4,,,,A72,AI 001,,4,A72,,
QS 2000 94-AP 631-1,,2,,,,N/A,AI 001,,2,FROM S.B,,
SHSS-12A-IND,,6,,,,N/A,AI 001,,6,FROM S.B,,
EPKJ-0144-AR5,,1,,,,N/A,AI 001,,1,FROM S.B,,
OHVT-52H-W-1N,,8,,,,B06,AI 001,,8,B06,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
MVAJ101RA0502A,RELAY,15,N/A,N/A,N/A,A70,BA 001,,15,A70,£,£
9055.310,RITTAL SCREEN,3,N/A,N/A,N/A,A70,BA 002,,3,A70,£,£
MVAX31S1CE0503A,AREVA BRANDED RELAY,1,3/10/2010,N/A,N/A,N/A,BA 003,,1,FROM S.B,£,£
MMLG01R1AA0001E,AREVA BRANDED RELAY,1,N/A,N/A,N/A,N/A,BA 004,,1,FROM S.B,£,£
MMLG01R1AA0001E,RELAY,1,N/A,N/A,N/A,A70,BA 005,,1,A70,£,£
MVAA11R1AA0766C,RELAY,1,11/20/2017,85898707,27/11/2017,A72,BA 006,,1,PO002543,£,£
,,,,,,,BA 007,,,,£,£
P122C00T112EA1,SCHNEIDER OVERCURRENT  RELAY,1,9/1/2014,N/A,N/A,N/A,BA 008,,1,FROM S.B,£,£
,,,,,,,BA 009,,,,£,£
,,,,,,,BA 010,,,,£,£
P143217A3M0468J,SCHNEIDER RELAY,1,36197829,N/A,N/A,N/A,BA 011,,1,FROM S.B,£,£
P143217A3M0468J,SCHNEIDER RELAY,1,36197805,N/A,N/A,N/A,BA 012,,1,FROM S.B,£,£
,,,,,,,BA 013,,,,£,£
,,,,,,,BA 014,,,,£,£
,,,,,,,BA 015,,,,£,£
,,,,,,,BA 016,,,,£,£
,,,,,,,BA 017,,,,£,£
205 W 350,RAYCHEM INSULATORS,14,N/A,N/A,N/A,N/A,BA 018,,14,,£,£
RD SS-150 (S10),RAYCHEM DUCT SEALING SYSTEM,10,9/20/2017,N/A,N/A,N/A,BA 019,,10,FROM S.B,£,£
SMOE - 62803,UNIVERSAL COLD APPLIED BOOT KIT,7,37/2017,TD426812,19/12/2017,A72,BA 020,,7,PO002686,£,£
SMOE - 62803,UNIVERSAL COLD APPLIED BOOT KIT,2,9/30/2013,IEH012,N/A,N/A,BA 020,,2,FROM S.B,,
LO-41B,3M COLD SHRINK CABLE JOINTING KIT,19,N/A,N/A,N/A,N/A,BB 001,,19,FROM S.B,£,£
LA11,3M COLD SHRINK CABLE JOINTING KIT,20,N/A,N/A,N/A,N/A,BB 002,,20,FROM S.B,£,£
EAKT-1606,RAYCHEM 3-CORE 1PC GLAND ASSEMBLY,1,11/22/2009,N/A,N/A,N/A,BB 003,,1,FROM S.B,£,£
SHSM-12A-S,RAYCHEM    CABLE PREPARATION KIT,4,N/A,N/A,N/A,N/A,BB 004,,4,FROM S.B,£,£
SMOE-61937,RAYCHEM    CABLE PREPARATION KIT,1,N/A,N/A,N/A,N/A,BB 005,,1,FROM S.B,£,£
,,,,,,,BB 006,,,,£,£
RCAB-C-421,RAYCHEM   BUSHING KIT,1,7/20/2007,N/A,N/A,N/A,BB 007,,1,FROM S.B,£,£
EAKT-1656,RAYCHEM   SILVER EARTH CONNECTOR KIT,1,8/28/2013,N/A,N/A,N/A,BB 008,,1,FROM S.B,£,£
EAKT-1656,RAYCHEM   SILVER EARTH CONNECTOR KIT,1,3/3/2010,N/A,N/A,N/A,BB 009,,1,FROM S.B,£,£
EAKT-1656,RAYCHEM   SILVER EARTH CONNECTOR KIT,3,11/6/2009,N/A,N/A,N/A,BB 010,,3,FROM S.B,£,£
EAKT-1657,RAYCHEM   SILVER EARTH CONNECTOR KIT,2,2/3/2014,N/A,N/A,N/A,BB 011,,2,FROM S.B,£,£
489-153,SILVER 25-10 300 MM BRAIDS,72,N/A,N/A,N/A,N/A,BB 012,,72,FROM S.B,£,£
J7618,SILVER 70-10  600 MM BRAIDS,2,N/A,N/A,N/A,N/A,BB 013,,2,FROM S.B,£,£
SC-B3D,COPPER M8/M10    400 MM BRAIDS,5,N/A,N/A,N/A,N/A,BB 014,2 - A75,3,FROM S.B,£,£
,,,,,,,BB 015,,,,£,£
,,,,,,,BB 016,,,,£,£
,,,,,,,BB 017,,,,£,£
,,,,,,,BB 018,,,,£,£
,,,,,,,BB 019,,,,£,£
,,,,,,,BB 020,,,,£,£
,,,,,,,BB 021,,,,£,£
,,,,,,,BB 022,,,,£,£
,,,,,,,BB 023,,,,£,£
,,,,,,,BB 024,,,,£,£
,,,,,,,BB 025,,,,£,£
,,,,,,,BB 026,,,,£,£
,,,,,,,BB 027,,,,£,£
,,,,,,,BB 028,,,,£,£
680-409,"COPPER ROD 1/4"" x 24"" ",4,N/A,N/A,N/A,N/A,BB 029,,4,,£,£
205 W 350,RAYCHEM    INSULATORS,14,,,,,BB 030,,14,,£,£
,END CAPS 100MM,11,,,,,BB 031,,11,,£,£
,END CAPS 75MM,4,,,,,BB 032,,4,,£,£
,END CAPS 55MM,2,,,,,BB 032,,2,,£,£
,END CAPS 40MM,11,,,,,BB032,,11,,£,£
102L048/S,END CAP 38-70 MM,30,,N/A,N/A,A87,BB 033,,30,FROM A87,£,£
NSYSFPB,SCHNEIDER PANEL MOUNTING PLATE,23,33/2015,0185856319,10/11/2015,A70,BC 001,,23,PO001259,£,£
NSYRSWH180,SCHNEIDER 180 SWINGRACK HINGE ,23,31/2015,0185849454,05/11/2015,A70,BC 002,,23,PO001259,£,£
NSYRCDFIX,"SCHNEIDER 19"" TRUNKING BRACKET",19,16/2015,0185895547,03/12/2015,A70,BC 003,,19,PO001259,£,£
NSYRCDFIX,"SCHNEIDER 19"" TRUNKING BRACKET",4,18/2015,0185927096,22/12/2015,A70,BC 003,,4,PO001259,£,£
,,,,,,,BC 004,,,,£,
,,,,,,,BC 005,,,,£,£
,,,,,,,BC 006,,,,£,£
,,,,,,,BC 007,,,,£,£
,,,,,,,BC 008,,,,£,£
,,,,,,,BC 009,,,,£,£
,,,,,,,BC 010,,,,£,£
30643-2-001,RINGS,2,N/A, N/A,N/A,N/A,BC 011,,2,FROM S.B,£,£
60KXSC2F,SWITCH DISCONN. FUSE BOX 63A,1,45/2011,N/A,N/A,N/A,BC 012,,1,FROM S.B,£,£
414-4277 ,JUNCTION BOX,1,N/A,N/A,N/A,N/A,BC 013,,1,FROM S.B,£,£
OL 20025,JUNCTION BOX,1,N/A,N/A,N/A,N/A,BC 014,,1,FROM S.B,£,£
