,,,,,,,,,,,,
,,,,,,,,,,,,
Y01-AA-FOR-0100 Workshop Stock Record ,,,,,,,,,,,,
,,,,,,,,,,,,
PART NUMBER,DESCRIPTION,QUANTITY,BATCH/LOT/ DATE.CODE,DELIVERY NO.,DATE RECEIVED,JOB/PROJECT REF.,LOCATION,COMMENTS,REMAINING QTY,P.O NUMBER ,UNIT VALUE,TOTAL VALUE
65YER,YELLOW RING CRIMP,200,,,,A75,AB 011,100 - A88  100 - A99,0,FROM A75,£,£
65RER,RED RING CRIMP,300,,,,A88,AB 012,300 - A99,0,FROM A88,£,£
8MM,RED RING CRIMP,200,,,,,AB 013,200 - A99,0,,£,£
5MM,RED RING CRIMP,200,,,,,AB 014,100 - A99  100 - A54,0,,£,£
37RER,RED RING CRIMP,100,,,,A88,AB 015,100 - A99,0,FROM A88,£,£
,,,,,,,AB 016,,,,£,£
534-373,RED 3MM THIN HOOK CRIMP,200,,,,,AB 017,200 - A88  100 - A99,0,,£,£
,RED WIDE HOOK CRIMP,1000,,,,,AB 018,200 - A99  100 - CH,800,,£,£
,RED WIDE HOOK CRIMP,200,,,,A88,AB 019,,1000,,£,£
,RED RING CRIMP,800,,,,A88,AB 020,200 - A99  100 - A54,600,,£,£
CNIR1-4RA,RED ANGLED RING CRIMP,200,,,,,AB 021 ,200 - A88,0,,£,£
CNIB1-14,RED THIN BLADE CRIMP,300,,,,,AB 022,300 - A99,0,,£,£
,RED THIN HOOK CRIMP,100,,,,,AB 023,100 - A99,0,,£,£
,BLUE THIN HOOK CRIMP,100,,,,,AB 024,100 - A99,0,,£,£
,BLUE WIDE HOOK CRIMP,100,,,,,AB 025,100 - A99,0,,£,£
,,,,,,,AB 026,,,,£,£
,BLUE WIDE HOOK CRIMP,1000,,,,,AB 027,200 - A99  100 - CH,800,,£,£
30 BHB,BLUE THIN HOOK CRIMP,700,,,,,AB 028,,700,,£,£
,BLUE THIN BLADE CRIMP,100,,,,,AB 029,100 - A99,100,,£,£
,,,,,,,AB 030,,,,£,£
,,,,,,,AB 031,,,,£,£
43BER,,100,,,,A88,AB 032,,,,£,£
BP-L4,BLUE ANGLED RING CRIMP,700,,,,,AB 033,100 - A95,700,,£,£
22Z/R6S11/SR,ROTARY SWITCH,1,,,,,AB 034,,1,,£,£
R6Q21/1,ROTARY SWITCH,4,,,,,AB 035,,4,,£,£
330-8616,ROTARY SWITCH,1,,,,,AB 036 ,,1,,£,£
R6D11/SRSALHC,ROTARY SWITCH,5,,,,,AB 037,,5,,£,£
CC34,MINI SWITCH,2,,,,,AB 038,,2,,£,£
,,,,,,,AB 039,,,,£,£
412-560,,,,,,,AB 040,,,,£,£
183-641,POWER SUPPLY,1,,,,A54,AB 041,,1,,£,£
776-0948,HAZARD ELECTRICITY WARNING LABEL,250,,,,A75,AB 042,,250,,£,£
776-0948,HAZARD ELECTRICITY WARNING LABEL,500,,,,A70,AB 042,,500,,,
776-0948,HAZARD ELECTRICITY WARNING LABEL,"5,000",,,,A88,AB 042,,"5,000",,,
NS 4A,LAWSON HRC CARTRIDGE FUSE(BLADE),5,,N/A,N/A,N/A,AB 043,,5,FROM S.B,£,£
NS 10A,LAWSON HRC CARTRIDGE FUSE(BLADE),12,,N/A,N/A,N/A,AB 044,,12,FROM S.B,£,£
NS 20A,LAWSON HRC CARTRIDGE FUSE(BLADE),16,,N/A,N/A,N/A,AB 045,,16,FROM S.B,£,£
NIT 6A,LAWSON HRC CARTRIDGE FUSE,14,,N/A,N/A,N/A,AB 046,,14,FROM S.B,£,£
NIT 10A,LAWSON HRC CARTRIDGE FUSE,15,,N/A,N/A,N/A,AB 047,,15,FROM S.B,£,£
NIT 16A,LAWSON HRC CARTRIDGE FUSE,7,,N/A,N/A,N/A,AB 048,,7,FROM S.B,£,£
216-5597,RS 20A HRC CARTRIDGE FUSE,11,,N/A,N/A,N/A,AB 049,,11,FROM S.B,£,£
NIT 4A,GEC HRC CARTRIDGE FUSE,11,,N/A,N/A,N/A,AB 050,,11,FROM S.B,£,£
NIT 6A,GEC HRC CARTRIDGE FUSE,13,,N/A,N/A,N/A,AB 051,,13,FROM S.B,£,£
NITD 2A,BUSSMAN HRC CARTRIDGE FUSE,25,,N/A,N/A,N/A,AB 052,,25,FROM S.B,£,£
NITD 4A,BUSSMAN HRC CARTRIDGE FUSE,8,,N/A,N/A,N/A,AB 053,,8,FROM S.B,£,£
NITD 10A,BUSSMAN HRC CARTRIDGE FUSE,7,,N/A,N/A,N/A,AB 054,,7,FROM S.B,£,£
NSD 20A,BUSSMAN HRC CARTRIDGE FUSE(BLADE),8,,N/A,N/A,N/A,AB 055,,8,FROM S.B,£,£
AA0 16A,BUSSMAN HRC CARTRIDGE FUSE,26,,N/A,N/A,N/A,AB 056,,26,FROM S.B,£,£
NIT 4A,GE POWER HRC CARTRIDGE FUSE,7,,N/A,N/A,N/A,AB 057,,7,FROM S.B,£,£
NIT 10A,GE POWER HRC CARTRIDGE FUSE,6,,N/A,N/A,N/A,AB 058,1 - A99,5,FROM S.B,£,£
GNIT 20A,GE POWER HRC CARTRIDGE FUSE,8,,N/A,N/A,N/A,AB 059,,8,FROM S.B,£,£
415-109,RS NIT 2A HRC CARTRIDGE FUSE,5,,N/A,N/A,N/A,AB 060,,5,FROM S.B,£,£
414-617,RS NIT 6A HRC CARTRIDGE FUSE,17,,N/A,N/A,N/A,AB 061,,17,FROM S.B,£,£
414-639,RS NIT 16A HRC CARTRIDGE FUSE,5,,N/A,N/A,N/A,AB 062,,5,FROM S.B,£,£
415-165,RS TIA 25A HRC CARTRIDGE FUSE,11,,N/A,N/A,N/A,AB 063,,11,FROM S.B,£,£
415-159,RS TIA 20A HRC CARTRIDGE FUSE,14,,N/A,N/A,N/A,AB 064,,14,FROM S.B,£,£
415-143,RS TIA 16A HRC CARTRIDGE FUSE,11,,N/A,N/A,N/A,AB 065,,11,FROM S.B,£,£
415-137,RS TIA 10A HRC CARTRIDGE FUSE,16,,N/A,N/A,N/A,AB 066,,16,FROM S.B,£,£
703-3997,RS OIL FILLED SWITCHGEAR FUSE,3,,N/A,N/A,N/A,AB 067,,3,FROM S.B,£,£
703-3997,RS OIL FILLED SWITCHGEAR FUSE,3,,N/A,N/A,N/A,AB 068,,3,FROM S.B,£,£
221-597,RS 20A FUSE  + HOUSING,13,,N/A,N/A,N/A,AB 069,,13,FROM S.B,£,£
RS20,RS 20A FUSE HOLDER,41,,N/A,N/A,N/A,AB 070,,41,FROM S.B,£,£
,,,,,,,AB 071,,,,£,£
,,,,,,,AB 072,,,,£,£
485-2912,WIREWOUND RESISTOR 470R 7W 6X22 5%,4,N/A,1136129089,29/11/2017,A95,AC 001,,4,PO002647,£,£
485-2984,WIREWOUND RESISTOR 1K2 7W 6X22 5%,1,N/A,1136129089,29/11/2017,A95,AC 002,,1,PO002647,£,£
485-2978,WIREWOUND RESISTOR 1K 7W 6X22 5%,1,N/A,1136129089,29/11/2017,A95,AC 003,,1,PO002647,£,£
485-2928,WIREWOUND RESISTOR 560R 7W 6X22 5%,5,N/A,1136129089,29/11/2017,A95,AC 004,,5,PO002647,£,£
707-8855,CARBON RESISTOR 560R 2W 5%,3,N/A,1136129089,29/11/2017,A95,AC 005,,3,PO002547,£,£
707-8215,CARBON AXIAL RESISTOR 0.5W,5,N/A,1136129089,29/11/2017,A95,AC 006,,5,FROM A29,£,£
737-4216,A1 CAP RADIAL NRSZ 50V 68UF,19,N/A,1136129089,29/11/2017,A95,AC 007,,19,PO002547,£,£
,,,,,,,AC 008,,,,£,£
628-8931,1N4001-E3/54 DIODE,,,,,,AC 009,,,,£,£
763-9469,47  50 CAPACITOR,,,,,,AC 010,,,,£,£
684-2204,MKP 338 CAPACITOR  300V,,,,,,AC 011,,,FROM A,£,£
108-2312,MKS2 10 nF CAPACITOR,,,,,,AC 012,,,,£,£
W23,1K RESISTOR,9,,,,A70,AC 013,,,,£,£
,,,,,,A54,AC 014,,,,£,£
,,,,,,A54,AC 015,,,,£,£
,,,,,,,AC 016,,,,£,£
2500556321,20 - WAY RESISTOR MOUNTING BOARD,2,N/A,19990589,22/09/2016,A70,AC 017,,2,PO001654,£,£
286-4520,M4 DIN RAIL MOUNTING CLIP,10,,,,A70,AC 018,,,,£,£
,,,,,,,AC 019,,,,£,£
246-7988,2M RED SHROUDED LEAD 4MM,,,,,,AC 020,,,,£,£
246-7994,2M BLACK SHROUDED LEAD 4MM,,,,,,AC 021,,,,£,£
771-8262,D-SUB 9-WAY CONNECTOR,,,,,,AC 022,,,,£,£
473-880,D-SUB 9-WAY CONNECTOR,,,,,,AC 023,,,,£,£
615-5954,9-WAY TERMINAL D-SUB CONN.,,,,,,AC 024,,,,£,£
615-6020,,,,,,,AC 025,,,,£,£
JB68Y,METALLISED 9-WAY D-SUB,,,,,,AC 026,,,,£,£
,,,,,,,AC 027,,,,£,£
,,,,,,,AC 028,,,,£,£
709-3810,TT93 16 A FEMALE CRIMP SIZE 16,,,,,,AC 029,,,,£,£
,,,,,,,AC 030,,,,£,£
,,,,,,,AC 031,,,,£,£
,,,,,,,AC 032,,,,£,£
,,,,,,,AC 033,,,,£,£
,,,,,,,AC 034,,,,£,£
,,,,,,,AC 035,,,,£,£
260-104,CONTACT BLOCK,,,,,,AC 036,,,,£,£
404-137,4MM MULTI CONTACT SOCKET,,,,,,AC 037,,,,£,£
404-171,4MM MULTI CONTACT SOCKET,,,,,,AC 038,,,,£,£
226-3045,4MM MULTI CONTACT SOCKET,,,,,,AC 039,,,,£,£
226-3051,4MM MULTI CONTACT SOCKET,,,,,,AC 040,,,,£,£
E22PCM,,,,,,,AC 041,,,,£,£
,,,,,,,AC 042,,,,£,£
,,,,,,,AC 043,,,,£,£
,,,,,,,AC 044,,,,£,£
,,,,,,,AC 045,,,,£,£
,,,,,,,AC 046,,,,£,£
,GREEN CONTACT BLOCK,,,,,,AC 047,,,,£,£
192-2765,,,,,,,AC 048,,,,£,£
UMK-SE 11.25-1,,,,,,,AC 049,,,,£,£
760-8847,,,,,,,AC 050,,,,£,£
,,,,,,,AC 051,,,,£,£
,,,,,,,AC 052,,,,£,£
,,,,,,,AC 053,,,,£,£
709-3709,TT238ES 55 BACKSHELL,,,,,,AC 054,,,,£,£
,,,,,,,AC 055,,,,£,£
,,,,,,,AC 056,,,,£,£
,,,,,,,AC 057,,,,£,£
219-5526,RED PUSH BUTTON SWITCH,6,,N/A,N/A,A29,AC 058,,6,FROM S.B,£,£
205-892,YELLOW LED 18MM LAMP 12V,7,,N/A,N/A,A29,AC 059,,7,FROM S.B,£,£
203-672,RED LED 18MM LAMP 24V,2,,N/A,N/A,A29,AC 060,,2,FROM S.B,£,£
,,,,,,,AC 061,,,,£,£
,,,,,,,AC 062,,,,£,£
,,,,,,,AC 063,,,,£,£
,JTECH MCB LOCK OFF,,,,,A70,AC 064,,,,£,£
203-672,RED LED 18MM LAMP  24V,,,,,,AC 065,,,,£,£
205-892,YELLOW LED 18MM LAMP 12V,,,,, A29  ,AC 066,,,,£,£
205-892,YELLOW LED 18MM LAMP 12V,7,,,,A54,AC066,,,,,
203-688,GREEN LED 18MM LAMP 24V,17,,,,A54,AC 067,,,,£,£
219-5526,GREEN PUSH BUTTON SWITCH,,,,,,AC 068,,,,£,£
,,,,,,,AC 069,,,,£,£
,,,,,,,AC 070,,,,£,£
,,,,,,,AC 071,,,,£,£
,,,,,,,AC 072,,,,£,£
28-5131,MCB,,,,,,AC 073,,,,£,£
AUX 2C0,MCB,,,,,A70,AC 074,,,,£,£
,,,,,,,AC 075,,,,£,£
S 201 M,MCB,,,,,,AC 076,,,,£,£
C2,MCB,,,,,A70,AC 077,,,,£,£
C4,MCB,,,,,A70,AC 078,,,,£,£
C6,MCB,,,,,A70,AC 079,,,,£,£
C10,MCB,,,,,A70,AC 080,,,,,
C16,MCB,,,,,A70,AC 081,,,,,
C60 HC,MCB,,,,,,AC 082,,,,,
C60 HB,MCB,,,,,,AC 083,,,,,
IC60H,MCB,,,,,,AC 084,,,,,
5SY,MCB,,,,,,AC 085,,,,,
AUX ,MCB,,,,,,AC 086,,,,£,£
AUX 1CO,MCB,,,,,,AC 087,,,,£,
SH 201,MCB,,,,,,AC 088,,,,£,
,,,,,,,AC 089,,,,£,
,,,,,,,AC 090,,,,£,
684-2204         ,MKP 338 CAPACITOR  300V,19,N/A,N/A,N/A,,AD 001,,19,FROM A29  ,£,£
260-104,BACO 6A CONTACT BLOCK,4,N/A,N/A,N/A,,AD 002,,4,FROM A29,£,£
404-137,4MM MULTI CONTACT SOCKET,2,N/A,N/A,N/A,,AD 003,,2,FROM A29,£,£
404-171,4MM MULTI CONTACT SOCKET,2,N/A,N/A,N/A,,AD 004,,2,FROM A29,£,£
226-3045,4MM MULTI CONTACT SOCKET,6,N/A,N/A,N/A,,AD 005,4 - A95,2,FROM A29,£,£
226-3051,4MM MULTI CONTACT SOCKET,6,N/A,N/A,N/A,,AD 006,4 - A95,2,FROM A29,£,£
108-2312,MKS2 10 nF CAPACITOR,14,N/A,N/A,N/A,,AD 007,,14,FROM A29,£,£
771-8262,D-SUB 9-WAY CONNECTOR,1,N/A,N/A,N/A,,AD 008,,1,FROM A29,£,£
473-880,D-SUB 9-WAY CONNECTOR,2,N/A,N/A,N/A,,AD 009,,2,FROM A29,£,£
615-5954,9-WAY TERMINAL D-SUB CONN.,2,N/A,N/A,N/A,,AD 010,,2,FROM A29,£,£
763-9469,47  50 CAPACITOR,22,N/A,N/A,N/A,,AD 011,,22,FROM A29,£,£
707-8215,CARBON AXIAL RESISTOR    0.5W,10,N/A,N/A,N/A,,AD 012,,10,FROM A29,£,£
246-7994,2M BLACK SHROUDED LEAD 4MM,10,N/A,N/A,N/A,,AD 013,4 - A95,6,FROM A29,£,£
246-7988,2M RED SHROUDED LEAD 4MM,10,N/A,N/A,N/A,,AD 014,4 - A95,6,FROM A29,£,£
720-5120,25W WIREWOUND RESISTOR,1,N/A,N/A,N/A,,AD 015,1 - A95,0,FROM A29,£,£
203-672,RED LED 18MM LAMP  24V,2,N/A,N/A,N/A,,AD 016,,2,FROM A29,£,£
212-064,RED LED 16MM LAMP  48-65V,4,N/A,N/A,N/A,,AD 017,4 - A95,0,FROM A29,£,£
205-892,YELLOW LED 18MM LAMP 12V,7,N/A,N/A,N/A,,AD 018,,7,FROM A29,£,£
212-224,YELLOW LED 18MM LAMP 48V,1,N/A,N/A,N/A,,AD 019,,1,,£,£
219-5526,GREEN PUSH BUTTON SWITCH,6,N/A,N/A,N/A,,AD 020,5 - A95,1,FROM A29,£,£
219-5548,RED PUSH BUTTON SWITCH,2,N/A,N/A,N/A,,AD 021,2 - A95,0,FROM A29,£,£
L717SD,D TYPE 9 PIN PCB MOUNT SOCKET,2,,,,,AD 022,,2,,£,£
,PUSH BUTTON,1,,,,,AD 023,,1,,£,£
628-8931,1N4001-E3/54 DIODE,6,N/A,N/A,N/A,,AD 024,,6,FROM A29,£,£
JB68Y,METALLISED D SUB HOOD 9 WAY,2,N/A,N/A,N/A,,AD 025,,2,FROM A29,£,£
TT2310,SOCKET CONNECTOR,2,N/A,N/A,N/A,,AD 026,,2,FROM A29,£,£
R6Q21/1,6A 2 POS. OFF/ON  90 DEGREE,4,N/A,N/A,N/A,,AD 027,,4,FROM A29,£,£
709-3810,TT93 16 A FEMALE CRIMP SIZE 16,72,N/A,N/A,N/A,,AD 028,,72,FROM A29,£,£
,STRAIGHT CONNECTOR,2,,,,,AD 029,,2,,£,£
,STRAIGHT CONNECTOR,1,,,,,AD 030,,1,,£,£
,DOOR HINGES,10,,,,,AD 031,,10,,£,£
,PLATE,8,,,,,AD 032,,8,,£,£
,U BRACKET,30,,,,,AD 033,1 -A88,29,,£,£
,DOOR CATCH,2,,,,,AD 034,,2,,£,£
10 52 00 2,MARKER STRIP,20,N/A,N/A,N/A,,AD 035,,20,FROM S.B,£,£
197-9553,10 POLE JUMPER BAR KIT ,20,N/A,N/A,N/A,,AD 036,W/M 0338300000     QL 10  SAK6N,20,FROM S.B,£,£
0194300000,CROSS CONNECTOR  2 POLE,100,N/A,N/A,N/A,,AD 037,QL2 SAK6N,100,FROM S.B,£,£
512-4038, CARBON STEEL  BLIND RIVET,30,N/A,N/A,N/A,,AD 038,14MM RIVET - 4MM DIAMETER,30,FROM S.B,£,£
468192,LEAF HINGES,42,N/A,N/A,N/A,,AD 039,,42,FROM A29,£,£
709-3709,TT238ES 55 BACKSHELL,8,N/A,N/A,N/A,,AD 040,,8,FROM A29,£,£
,CIR CLIPS,40,,,,,AD 041,,40,,£,£
,MD45 POWER SUPPLY,1,,,,,AD 042,,1,,£,£
,M3 TOP HAT CLIPS,5,,,,,AD 043,,5,,£,£
,25-20MM REDUCERS,16,,,,,AD 044,,16,,£,£
,32-20MM REDUCERS,10,,,,,AD 045,,10,,£,£
,32-25MM REDUCERS,6,,,,,AD 046,,6,,£,£
,25MM NUTS,25,,,,,AD 047,,25,,£,£
,20MM NUTS,19,,,,,AD 048,,19,,£,£
AW 41,WALL MOUNTING BRACKET,4,N/A,N/A,N/A,A54,AD 049,,4,FROM S.B,£,£
723-5033,5.1MM BUMPER/FEET,20,N/A,N/A,N/A,,AD 050,12 - A95,20,FROM A29,£,£
,TD 32 DC,2,,,,,AD 051,,2,,£,£
,,,,,,,AD 052,,,,£,£
S0850H,M8 INSULATORS,16,N/A,N/A,N/A,,AD 053,2 - A75   4 - A72,10,FROM S.B,£,£
514-432,RTD SENSOR  PT100,3,N/A,N/A,N/A,,AD 054,WITH A MINIATURE WEATHER PROOF HEAD,3,FROM S.B,£,£
,,,,,,,AD 055,,,,£,£
NSYPFCR,WALL MOUNT FOR 3D ENCL.,4,N/A,N/A,N/A,,AD 056,,4,FROM S.B,£,£
,,,,,,,AD 057,,,,£,£
CC 34,MINI SWITCH 20A SNAP ACTION,2,N/A,N/A,N/A,,AD 058,,2,FROM S.B,£,£
TLM 2257,FROST ROOM THERMOSTAT,1,N/A,N/A,N/A,,AD 059,,1,FROM S.B,£,£
5502S,SENTRY ENCLOSURE,5,N/A,N/A,N/A,,AD 060,,5,FROM S.B,£,£
PM16/1000FPB,IND. PLUG  2P+E 16A  110V,2,N/A,N/A,N/A,,AD 061,,2,FROM S.B,£,£
PM16/2000FPB,IND.CONN. 2P+E 16A  110V,3,N/A,N/A,N/A,,AD 062,,3,FROM S.B,£,£
,TD 23 DC,1,,,,,AD 063,,1,,£,£
,TD 36 ,1,,,,,AD 064,,1,,£,£
,TELE.EXCH. SIMULATOR,5,N/A,N/A,N/A,,AD 065,AUTO TELEPHONE EXCH. SIMULATOR,5,FROM A29,£,£
R6D11,R6D11/SR  ROTARY SWITCH,5,N/A,N/A,N/A,,AD 066,,5,,£,£
,TELEPHONE POINT,4,,,,,AD 067,,4,,£,£
,CK222,3,,,,,AD 068,,3,,£,£
,,,,,,,AD 069,,,,£,£
,D2600/FT,7,,,,,AD 070,,7,,£,£
ESB 3.2,GREEN/YELLOW HEATSHRINK,10,N/A,N/A,N/A,,AE 001,,10M,FROM S.B,£,£
ESB 12.7,GREEN/YELLOW HEATSHRINK,5,,N/A,N/A,,AE 002,,5M,FROM S.B,£,£
ESB 2.4,BLUE HEATSHRINK,8,,N/A,N/A,,AE 003,,8M,FROM S.B,£,£
ESB 12.7,GREY HEATSHRINK,14,N/A,N/A,N/A,,AE 004,,14M,FROM S.B,£,£
ESB 19.1,GREY HEATSHRINK,5,N/A,N/A,N/A,,AE 005,,5M,FROM S.B,£,£
ESB 9.5,BLACK HEATSHRINK,10,N/A,N/A,N/A,,AE 006,,10M,FROM S.B,£,£
,,,N/A,,,,AE 007,,,,£,£
ESB 12.7,BROWN HEATSHRINK,8,N/A,N/A,N/A,,AE 008,,8M,FROM S.B,£,£
ESB 19.1,BROWN HEATSHRINK,5,N/A,N/A,N/A,,AE 009,,5M,FROM S.B,£,£
HIS 3 12.4,BROWN HEATSHRINK,,N/A,N/A,N/A,,AE 010,,20 x 200MM,FROM S.B,£,£
,,,,,,,AE 011,,,,£,£
,,,,,,,AE 012,,,,£,£
,,,,,,,AE 013,,,,£,£
,,,,,,,AE 014,,,,£,£
ESB 12.7,BLACK HEATSHRINK,9,,N/A,N/A,,AE 015 ,,9M,FROM S.B,£,£
,GREY HEATSHRINK,10,,,,,AE 016,,10M,FROM S.B,£,£
ESB 19.1,BLUE HEATSHRINK,10,N/A,N/A,N/A,,AE 017,,10M,FROM S.B,£,£
,BLUE HEATSHRINK,3,N/A,N/A,N/A,,AE 018,,3M,FROM S.B,£,£
,GREY HEATSHRINK,2,N/A,N/A,N/A,,AE 019,,2M,FROM S.B,£,£
,GREY HEATSHRINK,2,N/A,N/A,N/A,,AE 020,,2M,FROM S.B,£,£
,BROWN HEATSHRINK,2,,,,,AE 021,,2M,,£,£
,BROWN HEATSHRINK,5,,,,,AE 022,,5M,,£,£
,RED HEATSHRINK,3,,,,,AE 023,,3M,,£,£
,BLACK HEATSHRINK,2,,,,,AE 024,,2M,,£,£
,BLACK CABLE SOCK,10,,,,,AE 025,,10M,,£,£
,BLACK CABLE SOCK,1,,,,,AE 026,,1M,,£,£
,BLACK CABLE SOCK,4,,,,,AE 027,,4M,,£,£
,GREY CABLE SOCK,3,,,,,AE 028,,3M,,£,£
HS 38,RED HEATSHRINK,8M,,,,A54,AE 029,,8M,,£,£
,,,,,,,AE 030,,,,£,£
,,,,,,,AE 031,,,,£,£
