Y01-AA-FOR-0098 Project Stock Record ,,,,,,,,,,,
,,,,,,,,,,,
PART NUMBER,DESCRIPTION,QUANTITY,BATCH/LOT/ DATE CODE,DELIVERY NUMBER,DATE RECEIVED,JOB/PROJECT REF.,LOCATION,COMMENTS,PURCHASE ORDER NUMBER,LINK TO DELIVERY NOTE ,
168-806-086,VARIABLE CLAMP PLATE,25,N/A,SS015877,03/05/2016,A54,A54,,PO001433R,Y:\DOC245.pdf,
150-105-106,M12 S/STEEL BOLT   30MM,153,N/A,SS015877,03/05/2016,A54,A54,,PO001433R,Y:\DOC245.pdf,
145-814-001,STEEL RING,145,N/A,SS015877,03/05/2016,A54,A54,,PO001433R,Y:\DOC245.pdf,
C68-201-122,BACKING FLAT,28,N/A,SS015877,03/05/2016,A54,A54,,PO001433R,Y:\DOC245.pdf,
121-256-109,NYLON CABLE CLEAT  64MM - 70MM,25,N/A,SS015877,03/05/2016,A54,A54,,PO001433R,Y:\DOC245.pdf,
149-813-001,M16 x 300MM,10,N/A,SS015877,03/05/2016,A54,A54,,PO001433R,Y:\DOC245.pdf,
K02-216-210,M16 GALV. BOLT   50MM,26,N/A,SS015877,03/05/2016,A54,A54,,PO001433R,Y:\DOC245.pdf,
121-130-003,BONDING CABLE LUG (19/3.25 - M16),20,N/A,SS015877,03/05/2016,A54,A54,,PO001433R,Y:\DOC245.pdf,
801-201-020,M20 GALV. HEX NUT,201,N/A,SS015877,03/05/2016,A54,A54,,PO001433R,Y:\DOC245.pdf,
149-812-006,M16 x M20 COUPLER,5,N/A,SS015877,03/05/2016,A54,A54,,PO001433R,Y:\DOC245.pdf,
168-201-270,BACKING FLAT,13,N/A,SS015877,03/05/2016,A54,A54,,PO001433R,Y:\DOC246.pdf,
173-201-150,PLAIN CHANNEL,1,N/A,SS015877,03/05/2016,A54,A54,,PO001433R,Y:\DOC246.pdf,
801-209-130,M30 GALV. WASHER,101,N/A,SS015877,03/05/2016,A54,A54,,PO001433R,Y:\DOC246.pdf,
802-216-124,M16 GALV. BOLT 120MM,23,N/A,SS015877,03/05/2016,A54,A54,,PO001433R,Y:\DOC246.pdf,
802-216-109,M16 GALV. BOLT  45MM,31,N/A,SS015877,03/05/2016,A54,A54,,PO001433R,Y:\DOC246.pdf,
C50-292-006,M20 PRECISION NUT,145,N/A,SS015877,03/05/2016,A54,A54,,PO001433R,Y:\DOC246.pdf,
121-813-003,WEDGE TAP CONN.  WG9AL,2,N/A,SS015877,03/05/2016,A54,A54,,PO001433R,Y:\DOC246.pdf,
150-282-005,M12 S/STEEL NUT,183,N/A,SS015877,03/05/2016,A54,A54,,PO001433R,Y:\DOC246.pdf,
121-056-101,CEMBRE RAIL STUD,2,N/A,SS015877,03/05/2016,A54,A54,,PO001433R,Y:\DOC246.pdf,
121-138-002,BLACK CABLE TIE 120 x 9MM,300,N/A,SS015877,03/05/2016,A54,A54,,PO001433R,Y:\DOC246.pdf,
K01-201-020,M20 GALV. HEX NUT,117,N/A,SS015877,03/05/2016,A54,A54,,PO001433R,Y:\DOC246.pdf,
K01-209-020,M20 GALV. WASHER,243,N/A,SS015877,03/05/2016,A54,A54,,PO001433R,Y:\DOC246.pdf,
150-105-108,M12 S/STEEL BOLT 40MM,35,N/A,SS015877,03/05/2016,A54,A54,,PO001433R,Y:\DOC246.pdf,
171-215-001,ANGLE CLEAT,4,N/A,SS015877,03/05/2016,A54,A54,,PO001433R,Y:\DOC246.pdf,
801-201-016,M16 GALV.HEX NUT,204,N/A,SS015877,03/05/2016,A54,A54,,PO001433R,Y:\DOC246.pdf,
802-216-227,M16 GALV. BOLT  135MM,7,N/A,SS015877,03/05/2016,A54,A54,,PO001433R,Y:\DOC246.pdf,
801-209-020,M20 GALV. WASHER,201,N/A,SS015877,03/05/2016,A54,A54,,PO001433R,Y:\DOC246.pdf,
148-116-998,BAND-IT TAPE  - PER METER,21,N/A,SS015877,03/05/2016,A54,A54,,PO001433R,Y:\DOC247.pdf,
129-803-001,BONDING CABLE CLIP ASSEMBLY,15,N/A,SS015877,03/05/2016,A54,A54,,PO001433R,Y:\DOC247.pdf,
150-109-112,M20 S/STEEL BOLT   60MM,7,N/A,SS015877,03/05/2016,A54,A54,,PO001433R,Y:\DOC247.pdf,
150-282-007,M16 S/STEEL NUT,32,N/A,SS015877,03/05/2016,A54,A54,,PO001433R,Y:\DOC247.pdf,
150-328-204,SINGLE COIL S/STEEL SPR. WASHER,153,N/A,SS015877,03/05/2016,A54,A54,,PO001433R,Y:\DOC247.pdf,
801-209-016,M16 GALV. WASHER,183,N/A,SS015877,03/05/2016,A54,A54,,PO001433R,Y:\DOC247.pdf,
802-220-112,M20 GALV. BOLT  60MM,6,N/A,SS015877,03/05/2016,A54,A54,,PO001433R,Y:\DOC247.pdf,
150-107-412,M16 S/STEEL BOLT  60MM,4,N/A,SS015877,03/05/2016,A54,A54,,PO001433R,Y:\DOC247.pdf,
150-282-009,M20 S/STEEL NUT,8,N/A,SS015877,03/05/2016,A54,A54,,PO001433R,Y:\DOC247.pdf,
C50-292-004,M12 PRECISION NUT,163,N/A,SS015877,03/05/2016,A54,A54,,PO001433R,Y:\DOC247.pdf,
150-125-332,M16 GALV. BOLT  160MM,3,N/A,SS015877,03/05/2016,A54,A54,,PO001433R,Y:\DOC247.pdf,
K01-209-012,M12 GALV. WASHER,145,N/A,SS015877,03/05/2016,A54,A54,,PO001433R,Y:\DOC247.pdf,
150-125-318,M16 GALV. BOLT  90MM,3,N/A,SS015877,03/05/2016,A54,A54,,PO001433R,Y:\DOC247.pdf,
150-124-210,M12 GALV. BOLT  50MM,5,N/A,SS015877,03/05/2016,A54,A54,,PO001433R,Y:\DOC247.pdf,
149-040-001,BAND-IT BUCKLE,30,N/A,SS015877,03/05/2016,A54,A54,,PO001433R,Y:\DOC247.pdf,
121-138-001,BLACK CABLE TIE 381 x 7.6MM,20,N/A,SS015877,03/05/2016,A54,A54,,PO001433R,Y:\DOC247.pdf,
801-209-010,M10 GALV. WASHER,105,N/A,SS015877,03/05/2016,A54,A54,,PO001433R,Y:\DOC247.pdf,
150-256-207,M16 GALV. LOCK NUT,8,N/A,SS015877,03/05/2016,A54,A54,,PO001433R,Y:\DOC248.pdf,
129-801-001,BOND CLIP ASSEMBLY FOR RAIL FLANGES,3,N/A,SS015877,03/05/2016,A54,A54,,PO001433R,Y:\DOC248.pdf,
K01-209-016,M16 GALV. WASHER,61,N/A,SS015877,03/05/2016,A54,A54,,PO001433R,Y:\DOC248.pdf,
150-401-004,WASHER,38,N/A,SS015877,03/05/2016,A54,A54,,PO001433R,Y:\DOC248.pdf,
C49-040-001,BAND IT BUCKLE,20,N/A,SS015877,03/05/2016,A54,A54,,PO001433R,Y:\DOC248.pdf,
K01-201-016,M16 GALV. HEX NUT,33,N/A,SS015877,03/05/2016,A54,A54,,PO001433R,Y:\DOC248.pdf,
801-201-010,M10 GALV. HEX NUT,55,N/A,SS015877,03/05/2016,A54,A54,,PO001433R,Y:\DOC248.pdf,
801-215-216,M16 GALV.SINGLE COIL SPR. WASHER,30,N/A,SS015877,03/05/2016,A54,A54,,PO001433R,Y:\DOC248.pdf,
801-209-116,M16 GALV. WASHER,24,N/A,SS015877,03/05/2016,A54,A54,,PO001433R,Y:\DOC248.pdf,
150-256-205,M12 GALV. LOCK NUT,6,N/A,SS015877,03/05/2016,A54,A54,,PO001433R,Y:\DOC248.pdf,
801-201-012,M12 GALV. HEX NUT,21,N/A,SS015877,03/05/2016,A54,A54,,PO001433R,Y:\DOC248.pdf,
801-209-212,M12 GALV. WASHER,21,N/A,SS015877,03/05/2016,A54,A54,,PO001433R,Y:\DOC248.pdf,
150-328-006,M16 WASHER,4,N/A,SS015877,03/05/2016,A54,A54,,PO001433R,Y:\DOC248.pdf,
150-401-006,M16 S/STEEL WASHER,4,N/A,SS015877,03/05/2016,A54,A54,,PO001433R,Y:\DOC248.pdf,
150-292-005,M16 STEEL NUT,6,N/A,SS015877,03/05/2016,A54,A54,,PO001433R,Y:\DOC248.pdf,
801-215-020,M20 GALV. SINGLE COIL SPR. WASHER,6,N/A,SS015877,03/05/2016,A54,A54,,PO001433R,Y:\DOC248.pdf,
150-292-004,M12 PRECISION NUT,6,N/A,SS015877,03/05/2016,A54,A54,,PO001433R,Y:\DOC248.pdf,
801-215-016,M16 GALV. SINGLE COIL SPR. WASHER,6,N/A,SS015877,03/05/2016,A54,A54,,PO001433R,Y:\DOC249.pdf,
2500556321,RESISTOR MOUNTING BASE,2,N/A,16746040,06/05/2016,A70,A70,,PO001536,Y:\DOC251.pdf,
168-869-005,VARIABLE ADAPTOR PLATE,1,N/A,SS016098,11/05/2016,A54,A54,,PO001433R,Y:\DOC256.pdf,
K02-216-210,M16 GALV. BOLT   50MM,7,N/A,SS016098,11/05/2016,A54,A54,,PO001433R,Y:\DOC256.pdf,
0270460000,AP RSF3 END PLATE,1,N/A,16214116,12/05/2016,A77,A77,,PO001509,Y:\DOC257.pdf,
C75-156-002,DISCONNECTOR MOUNTING CHANNEL,7,N/A,SS016384,25/05/2016,A54,A54,,PO001433R,Y:\DOC258.pdf,
802-212-342,M12 GALVANISED BOLT   210MM,10,N/A,SS016384,25/05/2016,A54,A54,,PO001433R,Y:\DOC258.pdf,
E/8828-1,4MM CLEAR ACRYLIC SHEET,4,N/A,16068,27/05/2016,A29,A29,,PO001554,Y:\DOC259.pdf,
270040,P521 TRAINING PANEL CUBICLE,1,N/A,132039,31/05/2016,A29,A29,,PO001550,Y:\DOC263.pdf,
270041,TRAINING PANEL CUBICLE REAR DOOR,1,N/A,132039,31/05/2016,A29,A29,,PO001550,Y:\DOC263.pdf,
270042,TRAINING PANEL MOUNTING PANEL,1,N/A,132039,31/05/2016,A29,A29,,PO001550,Y:\DOC263.pdf,
194-326,PLAIN INSERTS,100,,174-327895,31/05/2016,A29,A29,,PO001575,Y:\DOC262.pdf,
TR06,M6 ROD x 650MM LONG,1,N/A,174-327895,31/05/2016,A29,A29,,PO001575,Y:\DOC262.pdf,
TR06,M6 ROD x 850MM LONG,1,N/A,174-327895,31/05/2016,A29,A29,,PO001575,Y:\DOC262.pdf,
0495160000,EWK 1 END BRACKET,2,N/A,174-319724,31/05/2016,A72,A72,,PO001463,Y:\DOC261.pdf,
,TOP HAMPER ASSEMBLY FOR 12KV,1,N/A,WO4319,31/05/2016,A54,A54,,PO001491,Y:\DOC260.pdf,
6838766,"RELAY DPDT PCB, 3A 12VDC COIL",1,N/A,1114548924,01/06/2016,A77,A77,,PO001577,Y:\DOC264.pdf,
5357272,DUPLEX 1M PATCH LEAD ST/ST,1,N/A,1114548924,01/06/2016,A77,A77,,PO001577,Y:\DOC264.pdf,
2522754,HS25 WIREWOUND RESISTOR 75R 25W,1,N/A,1114548924,01/06/2016,A77,A77,,PO001577,Y:\DOC264.pdf,
2195526,IP67 RED PUSHBUTTON SWITCH,1,N/A,1114548924,01/06/2016,A77,A77,,PO001577,Y:\DOC264.pdf,
369523,DPDT SUB- MIN RELAY 2A 48 VDC COIL,3,N/A,1114548924,01/06/2016,A77,A77,,PO001577,Y:\DOC264.pdf,
212064,22MM RED LED  48-65 VDC,1,N/A,1114548924,01/06/2016,A77,A77,,PO001577,Y:\DOC264.pdf,
212244, 22MM YELLOW LED  48-65 VDC,1,N/A,1114548924,01/06/2016,A77,A77,,PO001577,Y:\DOC264.pdf,
212238,22MM GREEN LED 48-65 VDC,2,N/A,1114548924,01/06/2016,A77,A77,,PO001577,Y:\DOC264.pdf,
2195548,IP67 GREEN PUSHBUTTON SWITCH,1,N/A,1114548924,01/06/2016,A77,A77,,PO001577,Y:\DOC264.pdf,
TR735G,TRI-RATED 35.0MM GREY CABLE,15,N/A,CRE/000198,02/06/2016,A72,A72,,PO001584,Y:\DOC265.pdf,
8417639,M10 HD RING CRIMP TERMINAL ,50,N/A,1114645120,06/06/2016,A72,A72,,PO001585,Y:\DOC266.pdf,
2885027,"WRAP AROUND HEATSHRINK, 914MM",1,N/A,1114666138,06/06/2016,A72,A72,,PO001589,Y:\DOC267.pdf,
9537440000,WDU 4 SL TERMINAL,100,N/A,17838649,09/06/2016,A72,A72,,PO001591,Y:\DOC268.pdf,
7593G,FLOMASTA THERMOSTAT,2,N/A,A2261862646,09/06/2016,A54,A54,,PO001597,Y:\DOC269.pdf,
7203833,LED MAINS  STRIP LIGHT,2,N/A,1114895102,09/06/2016,A54,A54,,PO001598,Y:\DOC270.pdf,
7203868,AC POWER LEAD 2M WIRE ENDED,2,N/A,1114895102,09/06/2016,A54,A54,,PO001598,Y:\DOC270.pdf,
605605,ANTI- CONDENSATION HEATER,2,N/A,1114895102,09/06/2016,A54,A54,,PO001598,Y:\DOC270.pdf,
EL001,ENGRAVED LABELS,1,N/A,DN112231,16/06/2016,A70,A70,,PO001601,Y:\DOC273.pdf,
2901270,PCB 6-WAY TERMINAL BLOCKS,10,N/A,1115131634,17/06/2016,A77,A77,,PO001603,Y:\DOC274.pdf,
1.9UN 8H,VOLTAGE TRANSFORMER,2,N/A,1026,22/06/2016,A54,A54,,PO001547,Y:\DOC275.pdf,
12.5KA 3S-1250 ,CURRENT TRANSFORMER,1,N/A,1026,23/06/2016,A54,A54,,PO001547,Y:\DOC275.pdf,
SATLM2257,SUNVIC FROST ROOM THERMOSTAT 16 A,1,N/A,6328606,24/06/2016,A29,A29,,PO001606,Y:\DOC278.pdf,
7078215,CARBON RESISTOR 0.5W 5% 750R,10,N/A,1115358388,24/06/2016,A77,A77,,134448674,U:\DOC428.pdf,
738890,RED BANANA PLUGS  4MM,4,N/A,1115415504,24/06/2016,A75,A75,,PO001576,U:\DOC429.pdf,
738884,BLACK BANANA PLUGS  4MM,4,N/A,1115415504,24/06/2016,A75,A75,,PO001576,U:\DOC429.pdf,
738890,RED BANANA PLUGS  4MM,16,N/A,1115415504,24/06/2016,A29,A29,,PO001576,U:\DOC429.pdf,
738884,BLACK BANANA PLUGS  4MM,16,N/A,1115415504,24/06/2016,A29,A29,,PO001576,U:\DOC429.pdf,
8829098,CAPACITOR PP B32021 10nF 300Vac,10,N/A,1115357786,24/06/2016,A29,A29,,PO001605,Y:\DOC280.pdf,
6842204,CAPACITOR RFI MKP Y2 300Vac 100nF,10,N/A,1115357786,24/06/2016,A29,A29,,PO001605,Y:\DOC280.pdf,
7078215,CARBON RESISTOR 0.5W 5% 750R,10,N/A,1115357786,24/06/2016,A29,A29,,PO001605,Y:\DOC280.pdf,
2319205,CABLE TIE UV RESIST. 200 x 2.5MM,500,N/A,1115357786,24/06/2016,A29,A29,,PO001605,Y:\DOC280.pdf,
1779246,RNF 3000 HEATSHRINK 3/1-X-2,1,N/A,1115357786,24/06/2016,A29,A29,,PO001605,Y:\DOC280.pdf,
2344970,RNF 3000 HEATSHRINK 6/2-X,1,N/A,1115357786,24/06/2016,A29,A29,,PO001605,Y:\DOC280.pdf,
2141046,ROX 1S FILM RESISTOR 220R 1W,10,N/A,1115357786,24/06/2016,A29,A29,,PO001605,Y:\DOC280.pdf,
M10,BRASS FULL NUT,100,N/A,174-330703,29/06/2016,A70,A70,,PO001609,Y:\DOC282.pdf,
IR 2.5/8.5,M8 BLUE CRIMP,100,N/A,174-330703,29/06/2016,A70,A70,,PO001609,Y:\DOC282.pdf,
M3,M3 x 5MM PAN HEAD SLOTTED SCREW,200,N/A,174-330703,29/06/2016,A70,A70,,PO001609,Y:\DOC282.pdf,
4852013,WIREWOUND RESISTOR 510R 2.6W,5,N/A,1115544360,29/06/2016,A77,A77,,C.M,Y:\DOC283.pdf,
6530248,X7R CERAMIC CAP. 22nF 100V 2.5MM,25,N/A,1115625834,01/07/2016,A77,A77,,C.M,Y:\DOC284.pdf,
FL-93-201,MEDIUM PLANT NAPPY 100 x 68.5CM,1,N/A,84536,06/07/2016,A81,A81,,C.M,Y:\DOC285.pdf,
FL-93-202,MEDIUM PLANT NAPPY LINER,1,N/A,84536,06/07/2016,A81,A81,,C.M,Y:\DOC285.pdf,
2522754,HS25 WIREWOUND RESISTOR 75R 25W,1,N/A,1116092194,14/07/2016,A77,A77,,PO001625,Y:\DOC286.pdf,
1922759,PCB CARRIER SYSTEM 45MM,2,N/A,1116092194,14/07/2016,A77,A77,,PO001625,Y:\DOC286.pdf,
EL001,ENGRAVED LABELS,77,N/A,DN112542,15/07/2016,A70,A70,,J.DIXON,Y:\DOC287.pdf,
PL001,PRINTED LABELS,2,N/A,DN112542,15/07/2016,A70,A70,,J.DIXON,Y:\DOC287.pdf,
Q-HST64WT,HEAT SHRINK,4,N/A,SDN319344,22/08/2016,A70,A70,,PO001646,Y:\DOC294.pdf,
0383560000,EW35 END BRACKET,20,N/A,174-337376,25/08/2016,A82,A82,,PO001648,Y:\DOC298.pdf,
1010100000,WPE 4 TERMINAL,10,N/A,174-337376,25/08/2016,A82,A82,,PO001648,Y:\DOC298.pdf,
200 x 2.5MM,BLACK CABLE TIES,2000,N/A,174-337376,25/08/2016,A82,A82,,PO001648,Y:\DOC298.pdf,
175-7460,WHITE BOOTLACE CRIMP,300,N/A,174-337376,25/08/2016,A82,A82,,PO001648,Y:\DOC298.pdf,
534-907 ,BLIND CRIMP,100,N/A,174-337376,25/08/2016,A82,A82,,PO001648,Y:\DOC298.pdf,
20MM,20MM CONDUIT GALV SADDLE,10,N/A,174-337376,25/08/2016,A82,A82,,PO001648,Y:\DOC298.pdf,
FSU20B ,20MM  FLEX CONDUIT,10M,N/A,174-337376,25/08/2016,A82,A82,,PO001648,Y:\DOC298.pdf,
FSU20M20S,20MM SWIVEL GLAND,10,N/A,174-337376,25/08/2016,A82,A82,,PO001648,Y:\DOC298.pdf,
20MM,20MM CONDUIT GALV LOCKRING,10,N/A,174-337376,25/08/2016,A82,A82,,PO001648,Y:\DOC298.pdf,
M6 x 40MM,BZP MACHINE SCREW,50,N/A,174-337376,25/08/2016,A82,A82,,PO001648,Y:\DOC298.pdf,
M6      ,SPRING WASHER ,250,N/A,174-337376,25/08/2016,A82,A82,,PO001648,Y:\DOC298.pdf,
HN06,M6 BZP HEX NUT,250,N/A,174-337376,25/08/2016,A82,A82,,PO001648,Y:\DOC298.pdf,
FW06,M6 BZP FLAT WASHER,250,N/A,174-337376,25/08/2016,A82,A82,,PO001648,Y:\DOC298.pdf,
ARMEG 5.0MM,HSS DRILL BIT,4,N/A,174-337376,25/08/2016,A82,A82,,PO001648,Y:\DOC299.pdf,
DHT6,M6 SECONDARY CENTRE TAP,2,N/A,174-337376,25/08/2016,A82,A82,,PO001648,Y:\DOC299.pdf,
H2532,20MM HOLE SAW,2,N/A,174-337376,25/08/2016,A82,A82,,PO001648,Y:\DOC299.pdf,
A1,ARBOR DRILL,2,N/A,174-337376,25/08/2016,A82,A82,,PO001648,Y:\DOC299.pdf,
A014C ,PILOT DRILL,4,N/A,174-337376,25/08/2016,A82,A82,,PO001648,Y:\DOC299.pdf,
473-411,LOCTITE THREADLOCKER  50ML,1,N/A,174-337376,25/08/2016,A82,A82,,PO001648,Y:\DOC299.pdf,
CNIR1-4RA,4.3MM ANGLED CRIMPS,1000,02/2016,174-338385,06/09/2016,A70,A70,,PO001658,Y:\DOC300.pdf,
UB200A-B,200 x 2.5MM TIE WRAPS,2000,N/A,174-338385,06/09/2016,A70,A70,,PO001658,Y:\DOC300.pdf,
2C10,4.5KA MCB 2-POLE 10A,1,,128260,21/09/2016,A70,A70,,PO001662,Y:\DOC301.pdf,
2C04,4.5KA MCB 2-POLE 4A,4,,128260,21/09/2016,A70,A70,,PO001662,Y:\DOC301.pdf,
AUX1CO,AUX CONTACT FOR 10KA MCB,5,,128260,21/09/2016,A70,A70,,PO001662,Y:\DOC301.pdf,
2500556321,RESISTOR MOUNTING BASE,5,,19990589,22/09/2016,A70,A70,,PO001654,Y:\DOC302.pdf,
BE2026 101,"BLANKING PANEL 19"" U",3,N/A,13465,27/09/2016,A70,A70,,PO001676,Y:\DOC303.pdf,
BE2026 104,"BLANKING PANEL 19"" 4U",4,N/A,13465,27/09/2016,A70,A70,,PO001676,Y:\DOC303.pdf,
GJ2028 108,BLANKING PLATE SIZE 8,4,N/A,13465,27/09/2016,A70,A70,,PO001676,Y:\DOC303.pdf,
GJ2028 110,BLANKING PLATE SIZE 10,14,N/A,13465,27/09/2016,A70,A70,,PO001676,Y:\DOC303.pdf,
BE5002 075,SWITCH PLATE SIZE 2,4,N/A,13465,27/09/2016,A70,A70,,PO001676,Y:\DOC303.pdf,
R6Q21/2,R6 SELECTOR SWITCH 6A 4P,3,39/2016,143458,28/09/2016,A70,A70,,PO001677,Y:\DOC304.pdf,
WDU 10,WDU 10SL TERMINAL,4,N/A,,29/09/2016,A70,A70,,PO001680,Y:\DOC308.pdf,
WQV 10/2,CROSS CONNECTOR,2,N/A,,29/09/2016,A70,A70,,PO001680,Y:\DOC308.pdf,
WAP 2.5-10,WDU 10SL END PLATE,5,N/A,,29/09/2016,A70,A70,,PO001680,N/A,
WDU 10 SL,WDU 10SL TERMINAL,50,N/A,1119160644,07/10/2016,A70,A70,,PO001685,Y:\DOC310.pdf,
2C04,10KA MCB 2-POLE C 4A,4,24/16,128688,10/10/2016,A70,A70,,PO001688,Y:\DOC311.pdf,
2C02,4.5KA MCB 2-POLE C 2A,2,09/16,128688,10/10/2016,A70,A70,,PO001688,Y:\DOC311.pdf,
RB205-FUR,"5/8"" EARTH ROD",14,N/A,406370,13/10/2016,A54,A54,,PO001693,Y:\DOC312.pdf,
BB14-5-506506,FURSEWELD MOULD,2,N/A,406370,13/10/2016,A54,A54,,PO001693,Y:\DOC312.pdf,
BB14-5-254506,FURSEWELD MOULD,2,N/A,406370,13/10/2016,A54,A54,,PO001693,Y:\DOC312.pdf,
CG270,"5/8"" EARTH ROD COUPLING",10,N/A,406370,13/10/2016,A54,A54,,PO001693,Y:\DOC312.pdf,
HCPK5,HANDLE CLAMP,2,N/A,406370,13/10/2016,A54,A54,,PO001693,Y:\DOC312.pdf,
RL-2T-CH-6M,LC 1000 50MM RATCHET LASHING CLAW HOOK,4,N/A,BTL-125069,13/10/2016,A54,A54,,PO,Y:\DOC314.pdf,
ABS12TSCR,12 TON SCREW PIN ALLOY BOW SHACKLE,4,C2,BTL-125069,13/10/2016,A54,A54,,,Y:\DOC314.pdf,
MR-LG8-13-10,G80 MASTER RING 13MM SINGLE LEG,1,15C,BTL-125069,13/10/2016,A54,A54,,,Y:\DOC314.pdf,
ROUND3X6LG,3 TONNE x 6M ROUNDSLING,2,N/A,BTL-125069,13/10/2016,A54,A54,,,Y:\DOC314.pdf,
1171006,FOSROC CEMENT,26 PACKS,N/A,7031/25016842,18/10/2016,A83,A83,,PO001705,Y:\DOC317.pdf,
2C04,10KA MCB 2-POLE C 4A,16,,129039,26/10/2016,A70,A70,,PO001727,Y:\DOC318.pdf,
0172160000,SAKR/35 TERMINAL,50,N/A,21469479,26/10/2016,A70,A70,,PO001714,Y:\DOC319.pdf,
123162,PALM PLATE,14,N/A,13499,27/10/2016,A54,A54,,PO001692,Y:\DOC321.pdf,
BE2026104,BLANKING PANEL 4U,10,N/A,13495,27/10/2016,A70,A70,,PO001692,Y:\DOC322.pdf,
BC5002013,MCB REAR PLATE SIZE 2,20,N/A,13494,27/10/2016,A70,A70,,PO001724,Y:\DOC320.pdf,
BE2026104,BLANKING PANEL 4U,10,N/A,13494,27/10/2016,A70,A70,,PO001724,Y:\DOC320.pdf,
AUX1CO,AUX CONTACT FOR 10KA MCB,16,N/A,129227,03/11/2016,A70,A70,,PO001739,Y:\DOC323.pdf,
BC5002014,MCB FRONT PLATE SIZE 2,20,N/A,14539,09/11/2016,A70,A70,,PO001744,Y:\DOC325.pdf,
RA2579,RECTIFIER,1,,71316,09/11/2016,A75,A75,,PO001564,Y:\DOC326.pdf,
RA2580,RECTIFIER,1,,71316,09/11/2016,A75,A75,,PO001564,Y:\DOC326.pdf,
0468760001,TERMINAL MARKERS,150,N/A,174-974732,14/11/2016,A70,A70,,PO00,U:\DOC430.pdf,
EKO.110.060630,MARSHALLING BOX,3,N/A,22038624,15/11/2016,A70,A70,,PO001756,Y:\DOC328.pdf,
NSYSPF8200,FRONT PLINTH 200 X 800,1,37/2016,0186432935,15/11/2016,A70,A70,,PO001749R,Y:\DOC329.pdf,
NSYSPS8200,4 PLINTH SIDE PANELS 200 X 800,1,30/2016,0186432935,15/11/2016,A70,A70,,PO001749R,Y:\DOC330.pdf,
NSYRSW40,SWING RACK SIDE 19 40U,1,42/2015,0186432935,15/11/2016,A70,A70,,PO001749R,Y:\DOC331.pdf,
NSYMP208,GALVANISED MOUNT PLATE,1,35/2016,0186432935,15/11/2016,A70,A70,,PO001749R,Y:\DOC332.pdf,
0497560000, RSF3 TERMINAL,1425,N/A,22038630,16/11/2016,A70,A70,,PO001756,Y:\DOC333.pdf,
0270460000,AP RSF3 END PLATE,80,N/A,22038630,16/11/2016,A70,A70,,PO001756,Y:\DOC333.pdf,
NSYSFEB,M12 LIFTING EYES,1,30/2016,0186432935,18/11/2016,A70,A70,,PO001749R,Y:\DOC334.pdf,
NSYBLKH123,PADLOCKING SYSTEM,1,23/2016,0186432935,18/11/2016,A70,A70,,PO001749R,Y:\DOC334.pdf,
NSYEC882,2 ENTRY CAB GLAND PLATE,1,43/2016,0186446894,23/11/2016,A70,A70,,PO001749R,Y:\DOC336.pdf,
NSYSFNDR,PNEUMATIC DOOR STOP,1,44/2016,0186446900,23/11/2016,A70,A70,,PO001749R,Y:\DOC336.pdf,
NSYRCDR12,MECHANICAL SWING RACK,2,N/A,0186446900,23/11/2016,A70,A70,,PO001749R,Y:\DOC336.pdf,
EL001,ENGRAVED LABELS,259,N/A,DN113804,23/11/2016,A70,A70,,?,Y:\DOC336.pdf,
NSYMP208,GALVANISED MOUNT PLATE,1,44/2016,0186451735,24/11/2016,A70,A70,,PO001749R,Y:\DOC339.pdf,
EKO.110.081230,MARSHALLING BOX,1,N/A,22088042,25/11/2016,A70,A70,,PO001756,Y:\DOC340.pdf,
MAD1201230R5,MARSHALLING BOX,2,34/2016,22489739,28/11/2016,A70,A70,,PO001781,Y:\DOC341.pdf,
7203833,LED MAINS  STRIP LIGHT,1,N/A,1121245763,28/11/2016,A70,A70,,PO001783,Y:\DOC342.pdf,
7203868,AC POWER LEAD 2M WIRE ENDED,1,N/A,1121245763,28/11/2016,A70,A70,,PO001783,Y:\DOC342.pdf,
605605,ANTI- CONDENSATION HEATER,1,N/A,1121245763,28/11/2016,A70,A70,,PO001783,Y:\DOC342.pdf,
7553738,TERMINAL MARKER,1,N/A,1121245763,28/11/2016,A70,A70,,PO001783,Y:\DOC342.pdf,
,,,N/A,D0016435,29/11/2016,A75,A75,,PO001566,Y:\DOC343.pdf,
,,,N/A,D0016435,29/11/2016,A75,A75,,PO001566,Y:\DOC343.pdf,
,,,N/A,D0016435,29/11/2016,A75,A75,,PO001566,Y:\DOC343.pdf,
,,,N/A,D0016435,29/11/2016,A75,A75,,PO001566,Y:\DOC343.pdf,
,,,,186410457,30/11/2016,A75,A75,,PO001608,Y:\DOC344.pdf,
,,,,186410457,30/11/2016,A75,A75,,PO001608,Y:\DOC344.pdf,
NSYSF20880T,,1,N/A,0186465062,02/12/2016,A70,A70,,PO001749R,Y:\DOC349.pdf,
M3 x 12,M3 x 12MM PAN POZI SCREW,200,N/A,109809,06/12/2016,A70,A70,,CASH BUY,Y:\DOC350.pdf,
M3,M3 FULL NUT,200,N/A,109809,06/12/2016,A70,A70,,CASH BUY,Y:\DOC350.pdf,
C264LA1E291000180300B10C000N00,C264 RELAY,1,33861073,N/A,07/12/2016,A70,A70,,D.RUSSELL,Y:\DOC351.pdf,
4669480-100,CASTELL LOCK,1,N/A,186489924,19/12/2016,A75,A75,,PO001608,Y:\DOC355.pdf,
