Y01-AA-FOR-0098 Project Stock Record ,,,,,,,,,,,
,,,,,,,,,,,
PART NUMBER,DESCRIPTION,QUANTITY,BATCH/LOT/ DATE CODE,DELIVERY NUMBER,DATE RECEIVED,JOB/PROJECT REF.,LOCATION,COMMENTS,PURCHASE ORDER NUMBER,LINK TO DELIVERY NOTE ,
TRI2/5WHR100,2.5 TRI- RATED 1KV WHITE CABLE,3,N/A,W/2629678,11/11/2015,A70,A70,3 x 100M REEL,PO001290,U:\DOC027.pdf,
TRI2/5EYR100,2.5 TRI-RATED IKV GR/YELLOW CABLE,12,N/A,W/2629678,11/11/2015,A70,A70,12 x 100M REEL,PO001290,U:\DOC027.pdf,
TRI1/5WHR100,1.5 TRI-RATED 1KV WHITE CABLE,119,N/A,W/2629678,11/11/2015,A70,A70,119 x 100M REEL,PO001290,U:\DOC027.pdf,
TRI0/5WHR100,0.5 TRI-RATED 1KV WHITE CABLE,6,N/A,W/2629678,11/11/2015,A70,A70,6 x 100M REEL,PO001290,U:\DOC027.pdf,
NSYSF20880T,SF GLAZED WO/MP 2000 X 800 X 800,21,2015/34,0185860113,12/11/2015,A70,A70,,PO001259,U:\DOC034.pdf,
 RP-L4,CEMBRE CRIMPS,1000,N/A,174-304992,12/11/2015,A54,A54,,PO001269,U:\DOC055.pdf,
BP-L4,CEMBRE CRIMPS,300,N/A,174-304992,12/11/2015,A54,A54,,PO001269,U:\DOC055.pdf,
PA-10003BV90.-,PA1 MARKER (DASH),1000,2015/31,174-304992,12/11/2015,A54,A54,,PO001269,U:\DOC057.pdf,
PA-10003BV90./,PA1 MARKER  (FWD SLASH),1000,2014/36,174-304992,12/11/2015,A54,A54,,PO001269,U:\DOC057.pdf,
PA-10003BV90…………,PA1 MARKER  (0 to 9),10 x 1000,N/A,174-304992,12/11/2015,A54,A54,,PO001269,U:\DOC055.pdf,
PA-10003BV90………..,PA1 MARKER  (A to H),8 x 1000,N/A,174-304992,12/11/2015,A54,A54,,PO001269,U:\DOC056.pdf,
PA-10003BV90………..,PA1 MARKER  (J to N),5 x 1000,N/A,174-304992,12/11/2015,A54,A54,,PO001269,U:\DOC057.pdf,
PA-10003BV90………..,PA1 MARKER  (P to X),9 x 1000,N/A,174-304992,12/11/2015,A54,A54,,PO001269,U:\DOC057.pdf,
NSYSFNDR,PNEUMATIC DOOR STOP,23,N/A,0185867110,17/11/2015,A70,A70,,PO001259,U:\DOC059.pdf,
NSYSF20880T,SF GLAZED WO/MP 2000 X 800 X 800,1,2015/34,0185867109,17/11/2015,A70,A70,,PO001259,U:\DOC060.pdf,
NSYSF20880T,SF GLAZED WO/MP 2000 X 800 X 800,1,2015/34,0185867109,17/11/2015,A70,A70,,PO001259,U:\DOC061.pdf,
